	name	description	page
449	csavignyi_homolog_perc_id	%id. target C.savignyi gene identical to query gene	homologs
450	csavignyi_homolog_perc_id_r1	%id. query gene identical to target C.savignyi gene	homologs
451	csavignyi_homolog_goc_score	C.savignyi Gene-order conservation score	homologs
452	csavignyi_homolog_wga_coverage	C.savignyi Whole-genome alignment coverage	homologs
453	csavignyi_homolog_dn	dN with C.savignyi	homologs
454	csavignyi_homolog_ds	dS with C.savignyi	homologs
455	csavignyi_homolog_orthology_confidence	C.savignyi orthology confidence [0 low, 1 high]	homologs
456	celegans_homolog_ensembl_gene	Caenorhabditis elegans gene stable ID	homologs
457	celegans_homolog_associated_gene_name	Caenorhabditis elegans gene name	homologs
458	celegans_homolog_ensembl_peptide	Caenorhabditis elegans protein or transcript stable ID	homologs
459	celegans_homolog_chromosome	Caenorhabditis elegans chromosome/scaffold name	homologs
460	celegans_homolog_chrom_start	Caenorhabditis elegans chromosome/scaffold start (bp)	homologs
461	celegans_homolog_chrom_end	Caenorhabditis elegans chromosome/scaffold end (bp)	homologs
462	celegans_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
463	celegans_homolog_subtype	Last common ancestor with Caenorhabditis elegans	homologs
464	celegans_homolog_orthology_type	Caenorhabditis elegans homology type	homologs
465	celegans_homolog_perc_id	%id. target Caenorhabditis elegans gene identical to query gene	homologs
466	celegans_homolog_perc_id_r1	%id. query gene identical to target Caenorhabditis elegans gene	homologs
467	celegans_homolog_goc_score	Caenorhabditis elegans Gene-order conservation score	homologs
468	celegans_homolog_wga_coverage	Caenorhabditis elegans Whole-genome alignment coverage	homologs
469	celegans_homolog_dn	dN with Caenorhabditis elegans	homologs
470	celegans_homolog_ds	dS with Caenorhabditis elegans	homologs
471	celegans_homolog_orthology_confidence	Caenorhabditis elegans orthology confidence [0 low, 1 high]	homologs
472	ccapucinus_homolog_ensembl_gene	Capuchin gene stable ID	homologs
473	ccapucinus_homolog_associated_gene_name	Capuchin gene name	homologs
474	ccapucinus_homolog_ensembl_peptide	Capuchin protein or transcript stable ID	homologs
475	ccapucinus_homolog_chromosome	Capuchin chromosome/scaffold name	homologs
476	ccapucinus_homolog_chrom_start	Capuchin chromosome/scaffold start (bp)	homologs
477	ccapucinus_homolog_chrom_end	Capuchin chromosome/scaffold end (bp)	homologs
478	ccapucinus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
479	ccapucinus_homolog_subtype	Last common ancestor with Capuchin	homologs
480	ccapucinus_homolog_orthology_type	Capuchin homology type	homologs
481	ccapucinus_homolog_perc_id	%id. target Capuchin gene identical to query gene	homologs
482	ccapucinus_homolog_perc_id_r1	%id. query gene identical to target Capuchin gene	homologs
483	ccapucinus_homolog_goc_score	Capuchin Gene-order conservation score	homologs
484	ccapucinus_homolog_wga_coverage	Capuchin Whole-genome alignment coverage	homologs
485	ccapucinus_homolog_dn	dN with Capuchin	homologs
486	ccapucinus_homolog_ds	dS with Capuchin	homologs
487	ccapucinus_homolog_orthology_confidence	Capuchin orthology confidence [0 low, 1 high]	homologs
488	fcatus_homolog_ensembl_gene	Cat gene stable ID	homologs
489	fcatus_homolog_associated_gene_name	Cat gene name	homologs
490	fcatus_homolog_ensembl_peptide	Cat protein or transcript stable ID	homologs
491	fcatus_homolog_chromosome	Cat chromosome/scaffold name	homologs
492	fcatus_homolog_chrom_start	Cat chromosome/scaffold start (bp)	homologs
493	fcatus_homolog_chrom_end	Cat chromosome/scaffold end (bp)	homologs
494	fcatus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
495	fcatus_homolog_subtype	Last common ancestor with Cat	homologs
496	fcatus_homolog_orthology_type	Cat homology type	homologs
497	fcatus_homolog_perc_id	%id. target Cat gene identical to query gene	homologs
498	fcatus_homolog_perc_id_r1	%id. query gene identical to target Cat gene	homologs
499	fcatus_homolog_goc_score	Cat Gene-order conservation score	homologs
500	fcatus_homolog_wga_coverage	Cat Whole-genome alignment coverage	homologs
501	fcatus_homolog_dn	dN with Cat	homologs
502	fcatus_homolog_ds	dS with Cat	homologs
503	fcatus_homolog_orthology_confidence	Cat orthology confidence [0 low, 1 high]	homologs
504	amexicanus_homolog_ensembl_gene	Cave fish gene stable ID	homologs
505	amexicanus_homolog_associated_gene_name	Cave fish gene name	homologs
506	amexicanus_homolog_ensembl_peptide	Cave fish protein or transcript stable ID	homologs
507	amexicanus_homolog_chromosome	Cave fish chromosome/scaffold name	homologs
508	amexicanus_homolog_chrom_start	Cave fish chromosome/scaffold start (bp)	homologs
509	amexicanus_homolog_chrom_end	Cave fish chromosome/scaffold end (bp)	homologs
510	amexicanus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
511	amexicanus_homolog_subtype	Last common ancestor with Cave fish	homologs
512	amexicanus_homolog_orthology_type	Cave fish homology type	homologs
513	amexicanus_homolog_perc_id	%id. target Cave fish gene identical to query gene	homologs
514	amexicanus_homolog_perc_id_r1	%id. query gene identical to target Cave fish gene	homologs
515	amexicanus_homolog_goc_score	Cave fish Gene-order conservation score	homologs
516	amexicanus_homolog_wga_coverage	Cave fish Whole-genome alignment coverage	homologs
517	amexicanus_homolog_dn	dN with Cave fish	homologs
518	amexicanus_homolog_ds	dS with Cave fish	homologs
519	amexicanus_homolog_orthology_confidence	Cave fish orthology confidence [0 low, 1 high]	homologs
520	ggallus_homolog_ensembl_gene	Chicken gene stable ID	homologs
521	ggallus_homolog_associated_gene_name	Chicken gene name	homologs
522	ggallus_homolog_ensembl_peptide	Chicken protein or transcript stable ID	homologs
523	ggallus_homolog_chromosome	Chicken chromosome/scaffold name	homologs
524	ggallus_homolog_chrom_start	Chicken chromosome/scaffold start (bp)	homologs
525	ggallus_homolog_chrom_end	Chicken chromosome/scaffold end (bp)	homologs
526	ggallus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
527	ggallus_homolog_subtype	Last common ancestor with Chicken	homologs
528	ggallus_homolog_orthology_type	Chicken homology type	homologs
529	ggallus_homolog_perc_id	%id. target Chicken gene identical to query gene	homologs
530	ggallus_homolog_perc_id_r1	%id. query gene identical to target Chicken gene	homologs
531	ggallus_homolog_goc_score	Chicken Gene-order conservation score	homologs
532	ggallus_homolog_wga_coverage	Chicken Whole-genome alignment coverage	homologs
533	ggallus_homolog_dn	dN with Chicken	homologs
534	ggallus_homolog_ds	dS with Chicken	homologs
535	ggallus_homolog_orthology_confidence	Chicken orthology confidence [0 low, 1 high]	homologs
536	ptroglodytes_homolog_ensembl_gene	Chimpanzee gene stable ID	homologs
537	ptroglodytes_homolog_associated_gene_name	Chimpanzee gene name	homologs
538	ptroglodytes_homolog_ensembl_peptide	Chimpanzee protein or transcript stable ID	homologs
539	ptroglodytes_homolog_chromosome	Chimpanzee chromosome/scaffold name	homologs
540	ptroglodytes_homolog_chrom_start	Chimpanzee chromosome/scaffold start (bp)	homologs
541	ptroglodytes_homolog_chrom_end	Chimpanzee chromosome/scaffold end (bp)	homologs
542	ptroglodytes_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
543	ptroglodytes_homolog_subtype	Last common ancestor with Chimpanzee	homologs
544	ptroglodytes_homolog_orthology_type	Chimpanzee homology type	homologs
545	ptroglodytes_homolog_perc_id	%id. target Chimpanzee gene identical to query gene	homologs
546	ptroglodytes_homolog_perc_id_r1	%id. query gene identical to target Chimpanzee gene	homologs
547	ptroglodytes_homolog_goc_score	Chimpanzee Gene-order conservation score	homologs
548	ptroglodytes_homolog_wga_coverage	Chimpanzee Whole-genome alignment coverage	homologs
549	ptroglodytes_homolog_dn	dN with Chimpanzee	homologs
550	ptroglodytes_homolog_ds	dS with Chimpanzee	homologs
551	ptroglodytes_homolog_orthology_confidence	Chimpanzee orthology confidence [0 low, 1 high]	homologs
552	cchok1gshd_homolog_ensembl_gene	Chinese hamster CHOK1GS gene stable ID	homologs
553	cchok1gshd_homolog_associated_gene_name	Chinese hamster CHOK1GS gene name	homologs
554	cchok1gshd_homolog_ensembl_peptide	Chinese hamster CHOK1GS protein or transcript stable ID	homologs
555	cchok1gshd_homolog_chromosome	Chinese hamster CHOK1GS chromosome/scaffold name	homologs
556	cchok1gshd_homolog_chrom_start	Chinese hamster CHOK1GS chromosome/scaffold start (bp)	homologs
557	cchok1gshd_homolog_chrom_end	Chinese hamster CHOK1GS chromosome/scaffold end (bp)	homologs
558	cchok1gshd_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
559	cchok1gshd_homolog_subtype	Last common ancestor with Chinese hamster CHOK1GS	homologs
560	cchok1gshd_homolog_orthology_type	Chinese hamster CHOK1GS homology type	homologs
561	cchok1gshd_homolog_perc_id	%id. target Chinese hamster CHOK1GS gene identical to query gene	homologs
562	cchok1gshd_homolog_perc_id_r1	%id. query gene identical to target Chinese hamster CHOK1GS gene	homologs
563	cchok1gshd_homolog_goc_score	Chinese hamster CHOK1GS Gene-order conservation score	homologs
564	cchok1gshd_homolog_wga_coverage	Chinese hamster CHOK1GS Whole-genome alignment coverage	homologs
565	cchok1gshd_homolog_dn	dN with Chinese hamster CHOK1GS	homologs
566	cchok1gshd_homolog_ds	dS with Chinese hamster CHOK1GS	homologs
567	cchok1gshd_homolog_orthology_confidence	Chinese hamster CHOK1GS orthology confidence [0 low, 1 high]	homologs
568	ccrigri_homolog_ensembl_gene	Chinese hamster CriGri gene stable ID	homologs
569	ccrigri_homolog_associated_gene_name	Chinese hamster CriGri gene name	homologs
570	ccrigri_homolog_ensembl_peptide	Chinese hamster CriGri protein or transcript stable ID	homologs
571	ccrigri_homolog_chromosome	Chinese hamster CriGri chromosome/scaffold name	homologs
572	ccrigri_homolog_chrom_start	Chinese hamster CriGri chromosome/scaffold start (bp)	homologs
573	ccrigri_homolog_chrom_end	Chinese hamster CriGri chromosome/scaffold end (bp)	homologs
574	ccrigri_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
575	ccrigri_homolog_subtype	Last common ancestor with Chinese hamster CriGri	homologs
576	ccrigri_homolog_orthology_type	Chinese hamster CriGri homology type	homologs
577	ccrigri_homolog_perc_id	%id. target Chinese hamster CriGri gene identical to query gene	homologs
578	ccrigri_homolog_perc_id_r1	%id. query gene identical to target Chinese hamster CriGri gene	homologs
579	ccrigri_homolog_goc_score	Chinese hamster CriGri Gene-order conservation score	homologs
580	ccrigri_homolog_wga_coverage	Chinese hamster CriGri Whole-genome alignment coverage	homologs
581	ccrigri_homolog_dn	dN with Chinese hamster CriGri	homologs
582	ccrigri_homolog_ds	dS with Chinese hamster CriGri	homologs
583	ccrigri_homolog_orthology_confidence	Chinese hamster CriGri orthology confidence [0 low, 1 high]	homologs
584	psinensis_homolog_ensembl_gene	Chinese softshell turtle gene stable ID	homologs
585	psinensis_homolog_associated_gene_name	Chinese softshell turtle gene name	homologs
586	psinensis_homolog_ensembl_peptide	Chinese softshell turtle protein or transcript stable ID	homologs
587	psinensis_homolog_chromosome	Chinese softshell turtle chromosome/scaffold name	homologs
588	psinensis_homolog_chrom_start	Chinese softshell turtle chromosome/scaffold start (bp)	homologs
589	psinensis_homolog_chrom_end	Chinese softshell turtle chromosome/scaffold end (bp)	homologs
590	psinensis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
591	psinensis_homolog_subtype	Last common ancestor with Chinese softshell turtle	homologs
592	psinensis_homolog_orthology_type	Chinese softshell turtle homology type	homologs
593	psinensis_homolog_perc_id	%id. target Chinese softshell turtle gene identical to query gene	homologs
594	psinensis_homolog_perc_id_r1	%id. query gene identical to target Chinese softshell turtle gene	homologs
595	psinensis_homolog_goc_score	Chinese softshell turtle Gene-order conservation score	homologs
596	psinensis_homolog_wga_coverage	Chinese softshell turtle Whole-genome alignment coverage	homologs
597	psinensis_homolog_dn	dN with Chinese softshell turtle	homologs
598	psinensis_homolog_ds	dS with Chinese softshell turtle	homologs
599	psinensis_homolog_orthology_confidence	Chinese softshell turtle orthology confidence [0 low, 1 high]	homologs
600	gmorhua_homolog_ensembl_gene	Cod gene stable ID	homologs
601	gmorhua_homolog_associated_gene_name	Cod gene name	homologs
602	gmorhua_homolog_ensembl_peptide	Cod protein or transcript stable ID	homologs
603	gmorhua_homolog_chromosome	Cod chromosome/scaffold name	homologs
604	gmorhua_homolog_chrom_start	Cod chromosome/scaffold start (bp)	homologs
605	gmorhua_homolog_chrom_end	Cod chromosome/scaffold end (bp)	homologs
606	gmorhua_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
607	gmorhua_homolog_subtype	Last common ancestor with Cod	homologs
608	gmorhua_homolog_orthology_type	Cod homology type	homologs
609	gmorhua_homolog_perc_id	%id. target Cod gene identical to query gene	homologs
610	gmorhua_homolog_perc_id_r1	%id. query gene identical to target Cod gene	homologs
611	gmorhua_homolog_goc_score	Cod Gene-order conservation score	homologs
612	gmorhua_homolog_wga_coverage	Cod Whole-genome alignment coverage	homologs
613	gmorhua_homolog_dn	dN with Cod	homologs
614	gmorhua_homolog_ds	dS with Cod	homologs
615	gmorhua_homolog_orthology_confidence	Cod orthology confidence [0 low, 1 high]	homologs
616	lchalumnae_homolog_ensembl_gene	Coelacanth gene stable ID	homologs
617	lchalumnae_homolog_associated_gene_name	Coelacanth gene name	homologs
618	lchalumnae_homolog_ensembl_peptide	Coelacanth protein or transcript stable ID	homologs
619	lchalumnae_homolog_chromosome	Coelacanth chromosome/scaffold name	homologs
620	lchalumnae_homolog_chrom_start	Coelacanth chromosome/scaffold start (bp)	homologs
621	lchalumnae_homolog_chrom_end	Coelacanth chromosome/scaffold end (bp)	homologs
622	lchalumnae_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
623	lchalumnae_homolog_subtype	Last common ancestor with Coelacanth	homologs
624	lchalumnae_homolog_orthology_type	Coelacanth homology type	homologs
625	lchalumnae_homolog_perc_id	%id. target Coelacanth gene identical to query gene	homologs
626	lchalumnae_homolog_perc_id_r1	%id. query gene identical to target Coelacanth gene	homologs
627	lchalumnae_homolog_goc_score	Coelacanth Gene-order conservation score	homologs
628	lchalumnae_homolog_wga_coverage	Coelacanth Whole-genome alignment coverage	homologs
629	lchalumnae_homolog_dn	dN with Coelacanth	homologs
630	lchalumnae_homolog_ds	dS with Coelacanth	homologs
631	lchalumnae_homolog_orthology_confidence	Coelacanth orthology confidence [0 low, 1 high]	homologs
632	pcoquereli_homolog_ensembl_gene	Coquerel's sifaka gene stable ID	homologs
633	pcoquereli_homolog_associated_gene_name	Coquerel's sifaka gene name	homologs
634	pcoquereli_homolog_ensembl_peptide	Coquerel's sifaka protein or transcript stable ID	homologs
635	pcoquereli_homolog_chromosome	Coquerel's sifaka chromosome/scaffold name	homologs
636	pcoquereli_homolog_chrom_start	Coquerel's sifaka chromosome/scaffold start (bp)	homologs
637	pcoquereli_homolog_chrom_end	Coquerel's sifaka chromosome/scaffold end (bp)	homologs
638	pcoquereli_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
639	pcoquereli_homolog_subtype	Last common ancestor with Coquerel's sifaka	homologs
640	pcoquereli_homolog_orthology_type	Coquerel's sifaka homology type	homologs
641	pcoquereli_homolog_perc_id	%id. target Coquerel's sifaka gene identical to query gene	homologs
642	pcoquereli_homolog_perc_id_r1	%id. query gene identical to target Coquerel's sifaka gene	homologs
643	pcoquereli_homolog_goc_score	Coquerel's sifaka Gene-order conservation score	homologs
644	pcoquereli_homolog_wga_coverage	Coquerel's sifaka Whole-genome alignment coverage	homologs
645	pcoquereli_homolog_dn	dN with Coquerel's sifaka	homologs
646	pcoquereli_homolog_ds	dS with Coquerel's sifaka	homologs
647	pcoquereli_homolog_orthology_confidence	Coquerel's sifaka orthology confidence [0 low, 1 high]	homologs
648	btaurus_homolog_ensembl_gene	Cow gene stable ID	homologs
649	btaurus_homolog_associated_gene_name	Cow gene name	homologs
650	btaurus_homolog_ensembl_peptide	Cow protein or transcript stable ID	homologs
651	btaurus_homolog_chromosome	Cow chromosome/scaffold name	homologs
652	btaurus_homolog_chrom_start	Cow chromosome/scaffold start (bp)	homologs
653	btaurus_homolog_chrom_end	Cow chromosome/scaffold end (bp)	homologs
654	btaurus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
655	btaurus_homolog_subtype	Last common ancestor with Cow	homologs
656	btaurus_homolog_orthology_type	Cow homology type	homologs
657	btaurus_homolog_perc_id	%id. target Cow gene identical to query gene	homologs
658	btaurus_homolog_perc_id_r1	%id. query gene identical to target Cow gene	homologs
659	btaurus_homolog_goc_score	Cow Gene-order conservation score	homologs
660	btaurus_homolog_wga_coverage	Cow Whole-genome alignment coverage	homologs
661	btaurus_homolog_dn	dN with Cow	homologs
662	btaurus_homolog_ds	dS with Cow	homologs
663	btaurus_homolog_orthology_confidence	Cow orthology confidence [0 low, 1 high]	homologs
664	mfascicularis_homolog_ensembl_gene	Crab-eating macaque gene stable ID	homologs
665	mfascicularis_homolog_associated_gene_name	Crab-eating macaque gene name	homologs
666	mfascicularis_homolog_ensembl_peptide	Crab-eating macaque protein or transcript stable ID	homologs
667	mfascicularis_homolog_chromosome	Crab-eating macaque chromosome/scaffold name	homologs
668	mfascicularis_homolog_chrom_start	Crab-eating macaque chromosome/scaffold start (bp)	homologs
669	mfascicularis_homolog_chrom_end	Crab-eating macaque chromosome/scaffold end (bp)	homologs
670	mfascicularis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
671	mfascicularis_homolog_subtype	Last common ancestor with Crab-eating macaque	homologs
672	mfascicularis_homolog_orthology_type	Crab-eating macaque homology type	homologs
673	mfascicularis_homolog_perc_id	%id. target Crab-eating macaque gene identical to query gene	homologs
674	mfascicularis_homolog_perc_id_r1	%id. query gene identical to target Crab-eating macaque gene	homologs
675	mfascicularis_homolog_goc_score	Crab-eating macaque Gene-order conservation score	homologs
676	mfascicularis_homolog_wga_coverage	Crab-eating macaque Whole-genome alignment coverage	homologs
677	mfascicularis_homolog_dn	dN with Crab-eating macaque	homologs
678	mfascicularis_homolog_ds	dS with Crab-eating macaque	homologs
679	mfascicularis_homolog_orthology_confidence	Crab-eating macaque orthology confidence [0 low, 1 high]	homologs
680	fdamarensis_homolog_ensembl_gene	Damara mole rat gene stable ID	homologs
681	fdamarensis_homolog_associated_gene_name	Damara mole rat gene name	homologs
682	fdamarensis_homolog_ensembl_peptide	Damara mole rat protein or transcript stable ID	homologs
683	fdamarensis_homolog_chromosome	Damara mole rat chromosome/scaffold name	homologs
684	fdamarensis_homolog_chrom_start	Damara mole rat chromosome/scaffold start (bp)	homologs
685	fdamarensis_homolog_chrom_end	Damara mole rat chromosome/scaffold end (bp)	homologs
686	fdamarensis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
687	fdamarensis_homolog_subtype	Last common ancestor with Damara mole rat	homologs
688	fdamarensis_homolog_orthology_type	Damara mole rat homology type	homologs
689	fdamarensis_homolog_perc_id	%id. target Damara mole rat gene identical to query gene	homologs
690	fdamarensis_homolog_perc_id_r1	%id. query gene identical to target Damara mole rat gene	homologs
691	fdamarensis_homolog_goc_score	Damara mole rat Gene-order conservation score	homologs
692	fdamarensis_homolog_wga_coverage	Damara mole rat Whole-genome alignment coverage	homologs
693	fdamarensis_homolog_dn	dN with Damara mole rat	homologs
694	fdamarensis_homolog_ds	dS with Damara mole rat	homologs
695	fdamarensis_homolog_orthology_confidence	Damara mole rat orthology confidence [0 low, 1 high]	homologs
696	odegus_homolog_ensembl_gene	Degu gene stable ID	homologs
697	odegus_homolog_associated_gene_name	Degu gene name	homologs
698	odegus_homolog_ensembl_peptide	Degu protein or transcript stable ID	homologs
699	odegus_homolog_chromosome	Degu chromosome/scaffold name	homologs
700	odegus_homolog_chrom_start	Degu chromosome/scaffold start (bp)	homologs
701	odegus_homolog_chrom_end	Degu chromosome/scaffold end (bp)	homologs
702	odegus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
703	odegus_homolog_subtype	Last common ancestor with Degu	homologs
704	odegus_homolog_orthology_type	Degu homology type	homologs
705	odegus_homolog_perc_id	%id. target Degu gene identical to query gene	homologs
706	odegus_homolog_perc_id_r1	%id. query gene identical to target Degu gene	homologs
707	odegus_homolog_goc_score	Degu Gene-order conservation score	homologs
708	odegus_homolog_wga_coverage	Degu Whole-genome alignment coverage	homologs
709	odegus_homolog_dn	dN with Degu	homologs
710	odegus_homolog_ds	dS with Degu	homologs
711	odegus_homolog_orthology_confidence	Degu orthology confidence [0 low, 1 high]	homologs
712	cfamiliaris_homolog_ensembl_gene	Dog gene stable ID	homologs
713	cfamiliaris_homolog_associated_gene_name	Dog gene name	homologs
714	cfamiliaris_homolog_ensembl_peptide	Dog protein or transcript stable ID	homologs
715	cfamiliaris_homolog_chromosome	Dog chromosome/scaffold name	homologs
716	cfamiliaris_homolog_chrom_start	Dog chromosome/scaffold start (bp)	homologs
717	cfamiliaris_homolog_chrom_end	Dog chromosome/scaffold end (bp)	homologs
718	cfamiliaris_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
719	cfamiliaris_homolog_subtype	Last common ancestor with Dog	homologs
720	cfamiliaris_homolog_orthology_type	Dog homology type	homologs
721	cfamiliaris_homolog_perc_id	%id. target Dog gene identical to query gene	homologs
722	cfamiliaris_homolog_perc_id_r1	%id. query gene identical to target Dog gene	homologs
723	cfamiliaris_homolog_goc_score	Dog Gene-order conservation score	homologs
724	cfamiliaris_homolog_wga_coverage	Dog Whole-genome alignment coverage	homologs
725	cfamiliaris_homolog_dn	dN with Dog	homologs
726	cfamiliaris_homolog_ds	dS with Dog	homologs
727	cfamiliaris_homolog_orthology_confidence	Dog orthology confidence [0 low, 1 high]	homologs
728	ttruncatus_homolog_ensembl_gene	Dolphin gene stable ID	homologs
729	ttruncatus_homolog_associated_gene_name	Dolphin gene name	homologs
730	ttruncatus_homolog_ensembl_peptide	Dolphin protein or transcript stable ID	homologs
731	ttruncatus_homolog_chromosome	Dolphin chromosome/scaffold name	homologs
732	ttruncatus_homolog_chrom_start	Dolphin chromosome/scaffold start (bp)	homologs
733	ttruncatus_homolog_chrom_end	Dolphin chromosome/scaffold end (bp)	homologs
734	ttruncatus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
735	ttruncatus_homolog_subtype	Last common ancestor with Dolphin	homologs
736	ttruncatus_homolog_orthology_type	Dolphin homology type	homologs
737	ttruncatus_homolog_perc_id	%id. target Dolphin gene identical to query gene	homologs
738	ttruncatus_homolog_perc_id_r1	%id. query gene identical to target Dolphin gene	homologs
739	ttruncatus_homolog_goc_score	Dolphin Gene-order conservation score	homologs
740	ttruncatus_homolog_wga_coverage	Dolphin Whole-genome alignment coverage	homologs
741	ttruncatus_homolog_dn	dN with Dolphin	homologs
742	ttruncatus_homolog_ds	dS with Dolphin	homologs
743	ttruncatus_homolog_orthology_confidence	Dolphin orthology confidence [0 low, 1 high]	homologs
744	mleucophaeus_homolog_ensembl_gene	Drill gene stable ID	homologs
745	mleucophaeus_homolog_associated_gene_name	Drill gene name	homologs
746	mleucophaeus_homolog_ensembl_peptide	Drill protein or transcript stable ID	homologs
747	mleucophaeus_homolog_chromosome	Drill chromosome/scaffold name	homologs
748	mleucophaeus_homolog_chrom_start	Drill chromosome/scaffold start (bp)	homologs
749	mleucophaeus_homolog_chrom_end	Drill chromosome/scaffold end (bp)	homologs
750	mleucophaeus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
751	mleucophaeus_homolog_subtype	Last common ancestor with Drill	homologs
752	mleucophaeus_homolog_orthology_type	Drill homology type	homologs
753	mleucophaeus_homolog_perc_id	%id. target Drill gene identical to query gene	homologs
754	mleucophaeus_homolog_perc_id_r1	%id. query gene identical to target Drill gene	homologs
755	mleucophaeus_homolog_goc_score	Drill Gene-order conservation score	homologs
756	mleucophaeus_homolog_wga_coverage	Drill Whole-genome alignment coverage	homologs
757	mleucophaeus_homolog_dn	dN with Drill	homologs
758	mleucophaeus_homolog_ds	dS with Drill	homologs
759	mleucophaeus_homolog_orthology_confidence	Drill orthology confidence [0 low, 1 high]	homologs
760	aplatyrhynchos_homolog_ensembl_gene	Duck gene stable ID	homologs
761	aplatyrhynchos_homolog_associated_gene_name	Duck gene name	homologs
762	aplatyrhynchos_homolog_ensembl_peptide	Duck protein or transcript stable ID	homologs
763	aplatyrhynchos_homolog_chromosome	Duck chromosome/scaffold name	homologs
764	aplatyrhynchos_homolog_chrom_start	Duck chromosome/scaffold start (bp)	homologs
765	aplatyrhynchos_homolog_chrom_end	Duck chromosome/scaffold end (bp)	homologs
766	aplatyrhynchos_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
767	aplatyrhynchos_homolog_subtype	Last common ancestor with Duck	homologs
768	aplatyrhynchos_homolog_orthology_type	Duck homology type	homologs
769	aplatyrhynchos_homolog_perc_id	%id. target Duck gene identical to query gene	homologs
770	aplatyrhynchos_homolog_perc_id_r1	%id. query gene identical to target Duck gene	homologs
771	aplatyrhynchos_homolog_goc_score	Duck Gene-order conservation score	homologs
772	aplatyrhynchos_homolog_wga_coverage	Duck Whole-genome alignment coverage	homologs
773	aplatyrhynchos_homolog_dn	dN with Duck	homologs
774	aplatyrhynchos_homolog_ds	dS with Duck	homologs
775	aplatyrhynchos_homolog_orthology_confidence	Duck orthology confidence [0 low, 1 high]	homologs
776	lafricana_homolog_ensembl_gene	Elephant gene stable ID	homologs
777	lafricana_homolog_associated_gene_name	Elephant gene name	homologs
778	lafricana_homolog_ensembl_peptide	Elephant protein or transcript stable ID	homologs
779	lafricana_homolog_chromosome	Elephant chromosome/scaffold name	homologs
780	lafricana_homolog_chrom_start	Elephant chromosome/scaffold start (bp)	homologs
781	lafricana_homolog_chrom_end	Elephant chromosome/scaffold end (bp)	homologs
782	lafricana_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
783	lafricana_homolog_subtype	Last common ancestor with Elephant	homologs
784	lafricana_homolog_orthology_type	Elephant homology type	homologs
785	lafricana_homolog_perc_id	%id. target Elephant gene identical to query gene	homologs
786	lafricana_homolog_perc_id_r1	%id. query gene identical to target Elephant gene	homologs
787	lafricana_homolog_goc_score	Elephant Gene-order conservation score	homologs
788	lafricana_homolog_wga_coverage	Elephant Whole-genome alignment coverage	homologs
789	lafricana_homolog_dn	dN with Elephant	homologs
790	lafricana_homolog_ds	dS with Elephant	homologs
791	lafricana_homolog_orthology_confidence	Elephant orthology confidence [0 low, 1 high]	homologs
792	mfuro_homolog_ensembl_gene	Ferret gene stable ID	homologs
793	mfuro_homolog_associated_gene_name	Ferret gene name	homologs
794	mfuro_homolog_ensembl_peptide	Ferret protein or transcript stable ID	homologs
795	mfuro_homolog_chromosome	Ferret chromosome/scaffold name	homologs
796	mfuro_homolog_chrom_start	Ferret chromosome/scaffold start (bp)	homologs
797	mfuro_homolog_chrom_end	Ferret chromosome/scaffold end (bp)	homologs
798	mfuro_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
799	mfuro_homolog_subtype	Last common ancestor with Ferret	homologs
800	mfuro_homolog_orthology_type	Ferret homology type	homologs
801	mfuro_homolog_perc_id	%id. target Ferret gene identical to query gene	homologs
802	mfuro_homolog_perc_id_r1	%id. query gene identical to target Ferret gene	homologs
803	mfuro_homolog_goc_score	Ferret Gene-order conservation score	homologs
804	mfuro_homolog_wga_coverage	Ferret Whole-genome alignment coverage	homologs
805	mfuro_homolog_dn	dN with Ferret	homologs
806	mfuro_homolog_ds	dS with Ferret	homologs
807	mfuro_homolog_orthology_confidence	Ferret orthology confidence [0 low, 1 high]	homologs
808	falbicollis_homolog_ensembl_gene	Flycatcher gene stable ID	homologs
809	falbicollis_homolog_associated_gene_name	Flycatcher gene name	homologs
810	falbicollis_homolog_ensembl_peptide	Flycatcher protein or transcript stable ID	homologs
811	falbicollis_homolog_chromosome	Flycatcher chromosome/scaffold name	homologs
